test_person,reference_image,test_image,img_size,response,resptime
Testperson 4,09,50,24634,5,1.44799
Testperson 4,10,30,21541,6,1.099547
Testperson 4,03,80,20670,5,0.806631
Testperson 4,06,20,66681,5,2.751091
Testperson 4,03,50,37120,5,0.951476
Testperson 4,01,10,78200,5,0.794043
Testperson 4,10,90,5113,2,2.788706
Testperson 4,05,60,22344,3,3.346244
Testperson 4,10,100,2234,0,1.858324
Testperson 4,09,90,7945,1,1.279638
Testperson 4,06,50,37689,1,0.909236
Testperson 4,06,30,52569,2,1.326389
Testperson 4,07,90,4373,1,1.149855
Testperson 4,08,50,19384,4,1.777936
Testperson 4,03,70,27207,4,0.979411
Testperson 4,04,40,38864,5,1.09777
Testperson 4,08,90,6055,1,2.59745
Testperson 4,06,70,26423,1,1.316529
Testperson 4,06,90,10657,1,0.817002
Testperson 4,07,20,31227,4,2.51028
Testperson 4,03,60,32321,4,0.919448
Testperson 4,01,70,21606,5,1.037421
Testperson 4,10,60,13338,5,16.905971
Testperson 4,02,30,23063,6,0.938355
Testperson 4,07,10,48214,4,1.022786
Testperson 5,08,30,26804,5,9.544543
Testperson 5,04,30,46006,5,7.291848
Testperson 5,02,10,47183,5,7.087662
Testperson 5,05,70,18298,2,7.128989
Testperson 5,05,40,30226,3,2.363312
Testperson 5,05,20,45730,4,6.27824
Testperson 5,01,50,30418,4,6.695534
Testperson 5,02,100,1878,0,1.874876
Testperson 5,01,30,42040,6,3.611913
Testperson 5,01,60,26071,5,1.626749
Testperson 5,09,100,2511,0,1.520549
Testperson 5,05,90,7623,1,6.469908
Testperson 5,07,40,19798,4,12.172845
Testperson 5,09,20,43540,5,5.589835
Testperson 5,03,40,42141,4,4.573985
Testperson 5,03,90,12381,1,5.265151
Testperson 5,02,70,10528,4,3.313593
Testperson 5,09,10,64889,6,2.275559
Testperson 5,01,90,8821,1,7.725166
Testperson 5,02,80,7533,3,2.08229
Testperson 5,06,40,43737,4,3.900777
Testperson 5,02,90,4151,2,2.789347
Testperson 5,07,80,8245,2,6.165586
Testperson 5,05,50,26175,4,5.632724
Testperson 5,04,20,57167,6,1.568821
Testperson 5,06,80,19411,2,17.467048
Testperson 5,05,30,36281,6,2.160694
Testperson 5,05,80,13466,3,2.579291
Testperson 5,04,90,11258,3,4.243724
Testperson 5,10,10,43294,6,1.878537
Testperson 5,03,10,85126,6,1.533936
Testperson 5,08,10,51322,6,2.177533
Testperson 5,04,10,81772,6,3.879947
Testperson 5,04,80,18731,4,2.120489
Testperson 5,07,70,11592,3,4.739282
Testperson 5,04,100,4048,0,1.461521
Testperson 5,08,70,13727,4,4.652517
Testperson 5,07,50,17001,3,6.301169
Testperson 5,03,20,61290,5,7.687687
Testperson 5,09,40,28271,5,3.688209
Testperson 5,04,70,24746,5,5.545268
Testperson 5,10,80,8359,4,1.819504
Testperson 5,08,100,2180,0,1.346855
Testperson 5,06,100,2903,0,0.864855
Testperson 5,09,30,34009,5,6.501537
Testperson 5,10,50,15545,5,1.574286
Testperson 5,05,10,67123,6,4.31878
Testperson 5,08,20,34101,5,5.210985
Testperson 5,01,80,15978,3,4.683932
Testperson 5,09,80,13392,3,1.158197
Testperson 5,05,100,2453,0,1.502404
Testperson 5,02,50,15773,5,5.992605
Testperson 5,01,20,53424,6,3.335814
Testperson 5,02,60,13203,5,2.688556
Testperson 5,09,70,17639,4,4.39558
Testperson 5,06,10,95297,5,2.931594
Testperson 5,08,60,16605,5,1.447172
Testperson 5,03,30,49608,5,3.209038
Testperson 5,09,60,21225,4,7.194508
Testperson 5,01,40,34958,5,5.221879
Testperson 5,10,70,11088,4,1.811475
Testperson 5,07,100,1757,0,1.482857
Testperson 5,08,80,10202,3,3.762366
Testperson 5,06,60,32304,4,4.026299
Testperson 5,04,60,29570,5,1.529498
Testperson 5,02,40,18581,5,1.142642
Testperson 5,01,100,2453,0,1.364096
Testperson 5,10,20,27742,6,6.541105
Testperson 5,07,60,14371,4,3.700327
Testperson 5,10,40,17868,6,1.283942
Testperson 5,08,40,22279,5,3.027688
Testperson 5,04,50,34081,5,6.710822
Testperson 5,07,30,24330,5,6.272274
Testperson 5,03,100,3673,0,4.41152
Testperson 5,02,20,30292,5,9.740911
Testperson 5,09,50,24634,4,2.248381
Testperson 5,10,30,21541,6,4.881348
Testperson 5,03,80,20670,3,16.060757
Testperson 5,06,20,66681,5,6.864585
Testperson 5,03,50,37120,4,1.764572
Testperson 5,01,10,78200,5,4.408101
Testperson 5,10,90,5113,4,1.388168
Testperson 5,05,60,22344,5,3.87073
Testperson 5,10,100,2234,1,1.710224
Testperson 5,09,90,7945,1,2.568676
Testperson 5,06,50,37689,4,7.203056
Testperson 5,06,30,52569,6,7.58237
Testperson 5,07,90,4373,1,2.915009
Testperson 5,08,50,19384,5,6.019567
Testperson 5,03,70,27207,4,2.295408
Testperson 5,04,40,38864,5,11.301801
Testperson 5,08,90,6055,1,3.589884
Testperson 5,06,70,26423,3,2.846386
Testperson 5,06,90,10657,1,2.917625
Testperson 5,07,20,31227,6,6.927375
Testperson 5,03,60,32321,5,4.824886
Testperson 5,01,70,21606,4,5.016382
Testperson 5,10,60,13338,5,1.8465
Testperson 5,02,30,23063,5,9.600973
Testperson 5,07,10,48214,6,1.837781
Testperson 6,08,30,26804,6,56.934291
Testperson 6,04,30,46006,6,11.038071
Testperson 6,02,10,47183,6,24.538124
Testperson 6,05,70,18298,4,22.196838
Testperson 6,05,40,30226,4,3.264979
Testperson 6,05,20,45730,4,0.787516
Testperson 6,01,50,30418,4,8.655743
Testperson 6,02,100,1878,0,9.07826
Testperson 6,01,30,42040,6,14.720449
Testperson 6,01,60,26071,6,1.988982
Testperson 6,09,100,2511,1,14.129188
Testperson 6,05,90,7623,3,9.440297
Testperson 6,07,40,19798,5,4.781355
Testperson 6,09,20,43540,6,9.609165
Testperson 6,03,40,42141,6,4.482901
Testperson 6,03,90,12381,5,1.616695
Testperson 6,02,70,10528,5,2.30711
Testperson 6,09,10,64889,6,10.643028
Testperson 6,01,90,8821,4,3.233356
Testperson 6,02,80,7533,4,1.401929
Testperson 6,06,40,43737,6,4.661132
Testperson 6,02,90,4151,4,3.04396
Testperson 6,07,80,8245,4,1.346456
Testperson 6,05,50,26175,5,5.045381
Testperson 6,04,20,57167,6,4.37649
Testperson 6,06,80,19411,5,3.346271
Testperson 6,05,30,36281,6,3.34007
